Symbol,Description
AOUT,American Outdoor Brands Inc
APA,Apa Corp
APCX,Apptech Corp
APCXW,Apptech Payments Corp WT
APDN,Applied Dna Scns
APEI,American Public Education
APGE,Apogee Therapeutics Inc
API,Agora Inc Ads
APLD,Applied Digital Corp
APLM,Apollomics Inc Cl A
APLMW,Apollomics Inc WT
APLS,Apellis Pharmaceuticals Inc
APLT,Applied Therapeutics Inc
APM,Aptorum Group Ltd Cl A
APOG,Apogee Entrpr Inc
APP,Applovin Corp Cl A
APPF,Appfolio Cl A
APPN,Appian Corp Cl A
APPS,Digital Turbine
APRE,Aprea Therapeutics Inc
APTO,Aptose Bioscns
APVO,Aptevo Therapeutics Inc
APWC,Asia Pacific Wire & Cable
APXI,Apx Acquisition Corp I Cl A
APXIW,Apx Acquisition Corp I WT
APYX,Apyx Medical Corp
AQB,Aquabounty Technologies Inc
AQMS,Aqua Metals Inc
AQST,Aquestive Therapeutics Inc
AQU,Aquaron Acquisition Corp
AQUNR,Aquaron Acquisition Corp Rights
ARAY,Accuray Inc
ARBB,Arb Iot Group Limited
ARBE,Arbe Robotics Ltd
ARBEW,Arbe Robotics Ltd WT
ARBK,Argo Blockchain Plc ADR
ARBKL,Argo Blockchain Plc 8.75% Senior Notes Due 2026
ARCB,Arcbest Corp
ARCC,Ares Capital Corp
ARCT,Arcturus Therapeutics Ltd
ARDX,Ardelyx Inc
AREB,American Rebel Holdings
AREBW,American Rebel Holdings Inc WT
AREC,American Resources Corp
ARGX,Argenx Se ADR
ARHS,Arhaus Inc Cl A
ARKO,Arko Corp
ARKOW,Arko Corp WT
ARKR,Ark Restaurants Corp
ARLP,Alliance Resource Pt
ARM,Arm Holdings Plc ADR
AROW,Arrow Financial Corp
ARQ,Arq Inc
ARQQ,Arqit Quantum Inc
ARQQW,Arqit Quantum Inc WT
ARQT,Arcutis Biotherapeutics Inc
ARRY,Array Technologies Inc
ARTL,Artelo Biosciences Inc
ARTNA,Artesian Res Corp A
ARTV,Artiva Biotherapeutics Inc
ARTW,Art S Way MFG Company
ARVN,Arvinas Inc
ARWR,Arrowhead Pharma
ASET,Flexshares Real Assets Allocation Index Fund
ASLE,Aersale Corp
ASMB,Assembly Biosciences
ASML,Asml Holdings NY Reg ADR
ASND,Ascendis Pharma ADR
ASNS,Actelis Networks Inc
ASO,Academy Sports and Outdoors Inc
ASPCU,A Spac III Acquisition Corp
ASPI,Asp Isotopes Inc
ASPS,Altisource Portfolio
ASRT,Assertio Therapeutics Inc
ASRV,Ameriserv Financial
ASST,Asset Entities Inc Cl B
ASTC,Astrotech Corp
ASTE,Astec Inds Inc
ASTH,Astrana Health Inc
ASTI,Ascent Solar Technologies
ASTL,Algoma Steel Group Inc
ASTLW,Algoma Steel Group Inc WT
ASTS,Ast Spacemobile Inc
ASUR,Asure Software
ASYS,Amtech Systems Inc
ATAI,Atai Life Sciences N.V.
ATAT,Atour Lifestyle Holdings ADR
ATCOL,Atlas Corp 7.125% Notes Due 2027
ATEC,Alphatec Holdings
ATER,Aterian Inc
ATEX,Anterix Inc.
ATGL,Alpha Technology Group Limited
ATHA,Athira Pharma Inc
ATHE,Alterity Therapeutics Ltd ADR
ATIF,Atif Holdings Ltd
ATLC,Atlanticus Holdings Corp
ATLCL,Atlanticus Holdings Corp 6.125%
ATLCP,Atlanticus Holdings Corp 7.625% Series B
ATLCZ,Atlanticus Holdings Corporation 9.25%
ATLO,Ames Natl Corp
ATLX,Atlas Lithium Corp
ATMC,Alphatime Acquisition Corp
ATMCR,Alphatime Acquisition Corp Right
ATMCU,Alphatime Acquisition Corp
ATMCW,Alphatime Acquisition Corp WT
ATMV,Alphavest Acquisition Corp
ATMVR,Alphavest Acquisition Corp Right
ATNF,180 Life Sciences Corp
ATNFW,180 Life Sciences Corp WT
ATNI,Atn International
ATOM,Atomera Inc
ATOS,Atossa Therapeutics Inc
ATPC,Agape Atp Corp
ATRA,Atara Biotherap
ATRC,Atricure Inc
ATRO,Astronics Corp
ATSG,Air Transport
ATXG,Addentax Group Corp
ATXI,Avenue Therapeutics Inc
ATXS,Astri Therapeutics Inc
ATYR,Atyr Pharma Inc
AUBN,Auburn Natl Bncp
AUDC,Audiocodes Ltd
AUID,Authid Inc
AUPH,Aurinia Pharm Ord
AUR,Aurora Innovation Inc Cl A
AURA,Aura Biosciences Inc
AUROW,Aurora Innovation Inc WT
AUTL,Autolus Therapeutics Plc ADR
AUUD,Auddia Inc
AUUDW,Auddia Inc WT
AVAH,Aveanna Healthcare Holdings Inc
AVAV,Aerovironment Inc
AVBP,Arrivent Biopharma Inc
AVDL,Avadel Pharmaceuticals Plc ADR
AVDX,Avidxchange Holdings Inc
AVGO,Broadcom Ltd
AVGR,Avinger Inc
AVIR,Atea Pharmaceuticals Inc
AVNW,Aviat Networks Inc
AVO,Mission Produce Inc
AVPT,Avepoint Inc Cl A
AVPTW,Avepoint Inc WT
AVT,Avnet Inc
AVTE,Aerovate Therapeutics Inc
AVTX,Avalo Therapeutics Inc
AVXL,Anavex Lf SC
AWH,Aspira Womans Health Inc
AWRE,Aware Inc
AXDX,Accelerate Diagnosti
AXGN,Axogen Inc
AXNX,Axonics Inc
AXON,Axon Enterprise Inc
AXSM,Axsome Thera
AXTI,Axt Inc
AY,Atlantica Yield Plc
AYRO,Ayro Inc
AYTU,Aytu Biopharma Inc
AZ,A2Z Cust2Mate Solutions Corp
AZI,Autozi Internet Technology [Global] Ltd Cl A
AZN,Astrazeneca Plc ADR
AZPN,Aspen Technology
AZTA,Azenta Inc
BACK,Imac Holdings Inc
BACQU,Bleichroeder Acquisition Corp. I
BAER,Bridger Aerospace Group Holdings Inc
BAERW,Bridger Aerospace Group Holdings WT
BAFN,Bayfirst Financial Corp
BAND,Bandwidth Inc
BANF,Bancfirst Corp
BANFP,Bfc Capital Trust II
BANL,Cbl International Limited
BANR,Banner Corp
BANX,Arrowmark Financial Corp
BAOS,Baosheng Media Group Holdings Ltd
BASE,Couchbase Inc
BATRA,Atlanta Braves Holdings Inc
BATRK,Atlanta Braves Holdings Inc C
BAYA,Bayview Acquisition Corp Cl A
BAYAR,Bayview Acquisition Corp Right
BAYAU,Bayview Acquisition Corp
BBCP,Concrete Pumping Holdings Inc
BBGI,Beasley Broadcast Group
BBIO,Bridgebio Pharma Inc
BBLG,Bone Biologics Corp
BBLGW,Bone Biologics Corp WT
BBSI,Barrett Business S
BCAB,Bioatla Inc
BCAL,California Bancorp
BCAN,Femto Technologies Inc
BCAX,Bicara Therapeutics Inc
BCBP,Bcb Bancorp Inc
BCDA,Biocardia Inc
BCG,Binah Capital Group Inc
BCGWW,Binah Capital Group Inc Warrants
BCLI,Brainstorm Cell
BCML,Bay Commercial Bk CA
BCOV,Brightcove Inc
BCOW,1895 Bancorp of Wisconsin Inc
BCPC,Balchem Corp
BCRX,Biocryst Pharma Inc
BCSA,Blockchain Coinvestors Acquisition Corp I Cl A
BCSAU,Blockchain Coinvestors Acquisition Corp I
BCSAW,Blockchain Coinvestors Acquisition Corp I WT
BCTX,Briacell Therapeutics Corp
BCTXW,Briacell Therapeutics Corp WT
BCYC,Bicycle Therapeutics Plc ADR
BDMD,Baird Medical Investment Holdings
BDMDW,Baird Medical Investment Holdings WT
BDRX,Biodexa Pharmaceuticals Plc ADR
BDSX,Biodesix Inc
BDTX,Black Diamond Therapeutics Inc
BEAGU,Bold Eagle Acquisition Corp. Units
BEAM,Beam Therapeutics Inc
BEAT,Heartbeam Inc
BEATW,Heartbeam Inc WT
BECN,Beacon Roofing Suppl
BEEM,Beam Global
BELFA,BEL Fuse Cl A
BELFB,BEL Fuse Inc Cl B
BENF,Beneficient Cl A
BENFW,Beneficient WT
BETR,Better Home & Finance Holding CO
BETRW,Better Home & Finance Holding CO WT
BFC,Bank First National Corp [Wisconsin]
BFIN,Bankfinancial Corp
BFRG,Bullfrog Ai Holdings Inc
BFRGW,Bullfrog Ai Holdings WT
BFRI,Biofrontera Inc
BFRIW,Biofrontera Inc WT
BFST,Business First Bancshares Inc
BGC,Bgc Partners Cl A
BGFV,Big 5 Sporting
BGLC,Bionexus Gene Lab Corp
BGM,Bgm Group Ltd
BGNE,Beigene Ltd ADR
BHAT,Blue Hat Interactive Entertainment Tech
BHF,Brighthouse Financial Inc
BHFAL,Brighthouse Financial Inc 6.25% Junior
BHFAM,Brighthouse Financial Inc
BHFAN,Brighthouse Financial Inc
BHFAO,Brighthouse Financial Inc
BHFAP,Brighthouse Financial Inc Dep Shs Repstg 1/1000T
BHIL,Benson Hill Inc
BHRB,Burke Herbert Financial Services Corp
BHST,Bioharvest Sciences Inc
BIAF,Bioaffinity Technologies Inc
BIAFW,Bioaffinity Technologies WT
BIDU,Baidu Inc ADR
BIGC,Bigcommerce Holdings Inc
BIIB,Biogen Inc
BILI,Bilibili Inc ADR
BIOA,Bioage Labs Inc
BIOR,Biora Therapeutics Inc
BIOX,Bioceres Crop Solutions Corp
BIRD,Allbirds Inc Cl A
BITF,Bitfarms Ltd
BIVI,Biovie Inc
BJDX,Bluejay Diagnostics Inc
BJRI,Bj's Restaurants Inc
BKHA,Black Hawk Acquisition Corp Cl A
BKHAR,Black Hawk Acquisition Corp Rights
BKHAU,Black Hawk Acquisition Corporation Units
BKNG,Booking Holdings Inc
BKR,Baker Hughes Company
BKYI,Bio-Key Intl Inc
BL,Blackline Inc
BLAC,Bellevue Life Sciences Acquisition Corp
BLACR,Bellevue Life Sciences Acquisition Corp Rights
BLACU,Bellevue Life Sciences Acquisition Corp
BLACW,Bellevue Life Sciences Acquisition Corp WT
BLBD,Blue Bird Corp
BLBX,Blackboxstocks Inc
BLDE,Blade Air Mobility Inc
BLDEW,Blade Air Mobility Inc WT
BLDP,Ballard Power Sys
BLEU,Bleuacacia Ltd Cl A
BLEUR,Bleuacacia Ltd Rights
BLEUW,Bleuacacia Ltd WT
BLFS,Biolife Solutions
BLFY,Blue Foundry Bancorp
BLIN,Bridgeline Digital
BLKB,Blackbaud Inc
BLMN,Bloomin' Brands Inc
BLMZ,Bloomz Inc
BLNK,Blink Charging Company
BLRX,Biolinerx Ltd ADR
BLTE,Belite Bio Inc ADR
BLUE,Bluebird Bio
BLZE,Backblaze Inc Cl A
BMBL,Bumble Inc
BMEA,Biomea Fusion Inc
BMR,Beamr Imaging Ltd Ordinary Share
BMRA,Biomerica Inc
BMRC,Bank of Marin Bancrp
BMRN,Biomarin Pharmaceuticals
BNAI,Brand Engagement Network Inc
BNAIW,Brand Engagement Network Inc WT
BNGO,Bionano Genomics Inc
BNIX,Bannix Acquisition Corp
BNIXR,Bannix Acquisition Corp Right
BNIXW,Bannix Acquisition Corp WT
BNOX,Bionomics Ltd ADR
BNR,Burning Rock Biotech Ltd ADR
BNRG,Brenmiller Energy Ltd
BNTC,Benitec Biopharma Ltd ADR
BNTX,Biontech Se ADR
BNZI,Banzai International Inc
BNZIW,Banzai International Inc WT
BOCN,Blue Ocean Acquisition Corp Cl A
BOCNU,Blue Ocean Acquisition Corp Units
BOCNW,Blue Ocean Acquisition Corp WT
BOF,Branchout Food Inc
BOKF,Bok Financial Corp
BOLD,Boundless Bio Inc
BOLT,Bolt Biotherapeutics Inc
BON,Bon Natural Life Ltd
BOOM,Dynamic Materials
BOSC,Bos Better Online
BOTJ,Bank of The Jame Fnl
BOWN,Bowen Acquisition Corp
BOWNR,Bowen Acquisition Corp Rights
BOWNU,Bowen Acquisition Corp
BOXL,Boxlight Corp Cl A
BPMC,Blueprint Medicines Corp
BPOP,Popular Inc
BPOPM,Popular Inc Trust II
BPRN,Princeton Bancorp Inc
BPTH,Bio-Path Holdings
BPYPM,Brookfield Property Partners L.P. 6.25% Cl A
BPYPN,Brookfield Property Partners L.P. 5.75% Prf Perp
BPYPO,Brookfield Property Partners L.P. 6.375% Prf P
BPYPP,Brookfield Property Partners LP Pfd Unit Ltd Par
BRAC,Broad Capital Acquisition Corp
BRACR,Broad Capital Acquisition Corp Rights
BRAG,Bragg Gaming Group Inc
BREA,Brera Holdings Plc Cl B
BRFH,Barfresh Food Group
BRID,Bridgford Foods Corp
BRKH,Burtech Acquisition Corp Cl A
BRKHU,Burtech Acquisition Corp
BRKHW,Burtech Acquisition Corp WT
BRKL,Brookline Bancorp
BRKR,Bruker Corp
BRLS,Borealis Foods Inc
BRLSW,Borealis Foods Inc WT
BRLT,Brilliant Earth Group Inc Cl A
BRNS,Barinthus Biotherapeutics Plc ADR
BROG,Brooge Holdings Ltd
BROGW,Brooge Holdings Ltd WT
BRRR,Coinshares Valkyrie Bitcoin Fund
BRTX,Biorestorative Therapies Inc
BRY,Berry Pete Corp
BRZE,Braze Inc Cl A
BSBK,Bogota Financial Corp
BSET,Bassett Furniture
BSFC,Blue Star Foods Corp
BSGM,Biosig Technologies
BSII,Black Spade Acquisition II Cl A
BSIIU,Black Spade Acquisition II CO
BSIIW,Black Spade Acquisition II CO WT
BSJV,Invesco Bulletshares 2031 High Yield Corp Bond E
BSJW,Invesco Bulletshares 2032 High Yield Corporate B
BSLK,Bolt Projects Holdings Inc
BSLKW,Bolt Projects Holdings Inc WT
BSRR,Sierra Bancorp
BSVN,Bank7 Corp
BSY,Bentley Systems Inc Cl B
BTAI,Bioxcel Therapeutics Inc
BTBD,Bt Brands Inc
BTBDW,Bt Brands Inc WT
BTBT,Bit Digital Inc
BTCS,Btcs Inc
BTCT,Btc Digital Ltd
BTCTW,Btc Digital Ltd WT
BTDR,Bitdeer Technologies Group
BTM,Bitcoin Depot Inc
BTMD,Biote Corp
BTMWW,Bitcoin Depot Inc WT
BTOC,Armlogi Holding Corp
BTOG,Bit Origin Ltd
BTSG,Brightspring Health Services Inc
BTSGU,Brightspring Health Services Tangible Equity
BUJA,Bukit Jalil Global Acquisition 1 Ltd
BUJAR,Bukit Jalil Global Acquisition 1 Rights
BUJAW,Bukit Jalil Global Acquisition 1 WT
BUSE,First Busey Corp
BVFL,Bv Financial Inc MD
BVS,Bioventus Inc Cl A
BWAY,Brainsway Ltd ADR
BWB,Bridgewater Bancshares Inc
BWBBP,Bridgewater Bancshares ADR
BWEN,Broadwind Energy Inc
BWFG,Bankwell Financial
BWIN,The Baldwin Insurance Group Inc
BWMN,Bowman Consulting Group Ltd
BYFC,Broadway Fin Corp
BYND,Beyond Meat Inc
BYNO,Bynordic Acquisition Corp Cl A
BYNOU,Bynordic Acquisition Corporation Units
BYNOW,Bynordic Acquisition Corp WT
BYRN,Byrna Technologies Inc
BYSI,Beyondspring Inc
BYU,Baiyu Holdings Inc
BZ,Kanzhun Ltd ADR
BZFD,Buzzfeed Inc
BZFDW,Buzzfeed Inc WT
BZUN,Baozun Inc ADR
CAAS,China Automotive Sys
CABA,Cabaletta Bio Inc
CAC,Camden Natl Corp
CACC,Credit Acceptance
CADL,Candel Therapeutics Inc
CAKE,Cheesecake Fact
CALC,Calcimedica Inc
CALM,Cal-Maine Foods IN
CAMP,Camp4 Therapeutics Corp
CAMT,Camtek Ltd
CAN,Canaan Inc ADR
CAPN,Cayson Acquisition Corp
CAPNR,Cayson Acquisition Corp Right
CAPNU,Cayson Acquisition Corp Units
CAPR,Capricor Therap
CAPT,Captivision Inc
CAPTW,Captivision Inc WT
CAR,Avis Budget Group
CARA,Cara Therapeutics
CARE,Carter Bankshares Inc
CARG,Cargurus Inc Cl A
CARM,Carisma Therapeutics Inc
CART,Maplebear Inc [Instacart]
CARV,Carver Bancorp
CARZ,Nasdaq Global Auto Index Fund
CASH,Pathward Financial Inc
CASI,Casi Pharmaceuticals Inc
CASK,Heritage Distilling Holding Company Inc
CASS,Cass Information Sys
CASY,Casey's General Stor
CATY,Cathay Genl Bncp
CBAN,Colony Bankcorp Inc
CBAT,Cbak Energy Technology Inc
CBFV,Cb Financial Svc
CBLL,Ceribell Inc
CBNK,Capital Bancorp Inc
CBRG,Chain Bridge I Cl A
CBRL,Cracker Barrel
CBSH,Commerce Bancshares
CBUS,Cibus Inc
CCAP,Crescent Capital Bdc Inc
CCB,Coastal Financial Corp
CCBG,Capital City Bank Gr
CCCC,C4 Therapeutics Inc
CCCS,CCC Intelligent Solutions Hldgs Inc
CCD,Calams Dy Cnv IN
CCEC,Capital Clean Energy Carriers Corp
CCEP,Coca-Cola Europacific Partners Plc
CCG,Cheche Group Inc Cl A
CCGWW,Cheche Group Inc WT
CCIRU,Cohen Circle Acquisition Corp. I
CCIX,Churchill Capital Corp Ix
CCIXU,Churchill Capital Corp Ix
CCIXW,Churchill Capital Corp Ix WT
CCLD,Carecloud Inc
CCLDO,Carecloud Inc Pfd O
CCLDP,Carecloud Inc Pfd P
CCNE,Cnb Financial Corp
CCNEP,Cnb Financial Corp
CCOI,Cogent Comm Hlds
CCRN,Cross Ctry Hlthcr
CCSI,Consensus Cloud Solutions
CCTG,Ccsc Technology International Holdings Limited
CCTS,Cactus Acquisition Corp 1 Cl A
CDIO,Cardio Diagnostics Hldgs Inc
CDIOW,Cardio Diagnostics Hldgs Inc WT
CDLX,Cardlytics Inc
CDMO,Avid Bioservices Inc
CDNA,Caredx Inc
CDNS,Cadence Design Sys
CDRO,Codere Online Luxembourg S.A.
CDROW,Codere Online Luxembourg S.A. WT
CDT,Conduit Pharmaceuticals Inc
CDTG,Cdt Environmental Technology Investment
CDTTW,Conduit Pharmaceuticals Inc WT
CDTX,Cidara Thera
CDW,CDW Corp
CDXC,Chromadex Corp CS
CDXS,Codexis Inc
CDZI,Cadiz Inc
CDZIP,Cadiz Inc
CEAD,Cea Indistries Inc
CEADW,Cea Industries Inc WT
CECO,Ceco Environmental Corp
CEG,Constellation Energy Corp
CELC,Celcuity Inc
CELH,Celsius Holdings Inc
CELU,Celularity Inc
CELUW,Celularity Inc WT
CELZ,Creative Medical Technology Holdings Inc
CENN,Cenntro Inc
CENT,Central Garden
CENTA,Central Garden & Pet
CENX,Century Aluminum C
CEP,Cantor Equity Partners Inc Cl A
CERO,Cero Therapeutics Holdings Inc
CEROW,Cero Therapeutics Holdings Inc WT
CERS,Cerus Corp
CERT,Certara Inc
CETX,Cemtrex Inc
CETY,Clean Energy Technologies Inc
CEVA,Ceva Inc
CFB,Crossfirst Bankshares Inc
CFBK,Central Fed Corp
CFFI,C&F Financial Corp
CFFN,Capitol Fed Finl Inc
CFFS,Cf Acquisition Corp Vii Cl A
CFFSW,Cf Acquisition Corp Vii WT
CFLT,Confluent Inc Cl A
CFSB,Cfsb Bancorp Inc
CG,The Carlyle Group
CGABL,The Carlyle Group Inc 4.625%
CGBD,Carlyle Secured Lending Inc
CGBDL,Carlyle Secured Lending 8.20% Notes
CGBS,Crown Lng Holdings Limited
CGBSW,Crown Lng Holdings WT
CGC,Canopy Growth Corp
CGEM,Cullinan Therapeutics Inc
CGEN,Compugen Ltd
CGNT,Cognyte Software Ltd
CGNX,Cognex Corp
CGO,Calamos Glb Ttl Rtn
CGON,Cg Oncology Inc
CGTL,Creative Global Technology Holdings Ltd
CGTX,Cognition Therapeutics Inc
CHARU,Charlton Aria Acquisition Corporation Units
CHCI,Comstock Hlds Cos
CHCO,City Holding Company
CHDN,Churchill Downs IN
CHEF,The Chefs Warehouse
CHEK,Check-Cap Ltd Ord
CHI,Calamos Cv Opp & Inc
CHKP,Check Point Software
CHMG,Chemung Financial Corp
