Symbol,Description
PCT,Purecycle Technologies Inc
PCTTU,Purecycle Technologies Inc
PCTTW,Purecycle Technologies Inc WT
PCTY,Paylocity Holdings Corp
PCVX,Vaxcyte Inc
PCYO,Pure Cycle Corp
PDBC,Optimum Yield Diversified Commodity Strategy
PDCO,Patterson Companies
PDD,Pdd Holdings Inc
PDEX,Pro-Dex Inc
PDFS,Pdf Solutions Inc
PDLB,Ponce Financial Group Inc
PDSB,Pds Biotechnology Corp
PDYN,Palladyne Ai Corp
PDYNW,Palladyne Ai Corp WT
PEBK,Peoples Bancorp NC
PEBO,Peoples Bancorp Inc
PECO,Phillips Edison & Company Inc
PEGA,Pegasystems Inc
PEGY,Pineapple Energy Inc
PENG,Penguin Solutions Inc
PENN,Penn Entertainment Inc
PEP,Pepsico Inc
PEPG,Pepgen Inc
PERI,Perion Network Ltd
PESI,Perma-Fix Envir
PET,Wag! Group Co.
PETS,Petmed Express Inc
PETWW,Wag! Group Company WT
PETZ,Tdh Holdings Inc
PEV,Phoenix Motor Inc
PFBC,Preferred Bank LA
PFC,Premier Financial Corp
PFG,Principal Financial Group Inc
PFIE,Profire Energy
PFIS,Peoples Finl Svcs Company
PFMT,Performant Financial
PFTA,Portage Fintech Acquisition Corp
PFTAU,Perception Capital Corp III
PFTAW,Portage Fintech Acquisition Corp WT
PFX,Phenixfin Corp Pr
PFXNZ,Phenixfin Corp 5.25% Notes Due 2028
PGC,Peapack Gladstone FI
PGEN,Precigen Inc
PGHL,Primega Group Holdings Limited
PGNY,Progyny Inc
PGY,Pagaya Technologies Ltd Cl A
PGYWW,Pagaya Technologies Ltd Warrants
PHAR,Pharming Group N.V. ADR
PHAT,Phathom Pharmaceuticals Inc
PHIO,Phio Pharmaceuticals Corp
PHUN,Phunware Inc
PHVS,Pharvaris N.V.
PI,Impinj Inc
PIII,P3 Health Partners Inc
PIIIW,P3 Health Partners Inc WT
PIK,Kidpik Corp
PINC,Premier Inc Cl A
PIRS,Pieris Pharmaceuticals Inc
PITA,Heramba Electric Plc
PITAW,Heramba Electric Plc WT
PKBK,Parke Bancorp Inc
PKOH,Park Ohio Holdings Corp
PLAB,Photronics Inc
PLAO,Patria Latin American Opportunity Acquisition CO
PLAOW,Patria Latin American Opportunity Acquisition CO
PLAY,Dave & Buster's Entertainment
PLBC,Plumas Bancorp
PLBY,Plby Group Inc
PLCE,Children's Place Inc
PLL,Piedmont Lithium Inc ADR
PLMJ,Plum Acquisition Corp III
PLMJU,Plum Acquisition Corp III UT
PLMJW,Plum Acquisition Corp III WT
PLMR,Palomar Holdings Inc
PLPC,Preformed Line Prd
PLRX,Pliant Therapeutics Inc
PLRZ,Polyrizon Ltd
PLSE,Pulse Biosciences CS
PLTK,Playtika Holding Corp
PLTR,Palantir Technologies Inc
PLUG,Plug Power Inc
PLUR,Pluri Inc
PLUS,Eplus Inc
PLXS,Plexus Corp
PLYA,Playa Hotels & Resorts N.V.
PMAX,Powell Max Limited Cl A
PMCB,Pharmacyte Biotech Inc
PMD,Psychemedics
PMEC,Primech Holdings Ltd
PMN,Promis Neurosciences Inc
PMTS,CPI Card Group
PMVP,Pmv Pharmaceuticals Inc
PNBK,Patriot Natl Bncp
PNFP,Pinnacle Finl Ptnrs
PNFPP,Pinnacle Financial Partners Inc
PNRG,Primeenergy Corp
PNTG,The Pennant Group Inc
POAI,Predictive Oncology Inc
POCI,Precision Optics Corp Inc
PODC,Podcastone Inc
PODD,Insulet Corp
POET,Poet Technologies Inc
POLA,Polar Power Inc
POLE,Andretti Acquisition Corp. II Cl A
POLEU,Andretti Acquisition Corp. II
POLEW,Andretti Acquisition Corp. II WT
POOL,Pool Corp
POWI,Power Integratn
POWL,Powell Inds Inc
POWW,Ammo Inc
POWWP,Ammo Inc 8.75% Series A
PPBI,Pacific Premier Bncp
PPBT,Purple Biotech Ltd ADR
PPC,Pilgrim's Pride
PPIH,Perma-Pipe International Holdings Inc
PPSI,Pioneer Power Solutions
PPTA,Perpetua Resources Corp
PPYA,Papaya Growth Opportunity I Cl A
PPYAU,Papaya Growth Opportunity Corp I
PPYAW,Papaya Growth Opportunity Corp I WT
PRAA,Pra Group Inc
PRAX,Praxis Precision Medicines Inc
PRCH,Porch Group Inc
PRCT,Procept Biorobotics Corp
PRDO,Perdoceo Education Corp
PRE,Prenetics Global Limited Class A Ordinary Share
PRENW,Prenetics Global Limited WT
PRFX,Painreform Ltd
PRGS,Progress Software
PRLD,Prelude Therapeutics Inc
PRLH,Pearl Holdings Acquisition Corp Cl A
PRLHW,Pearl Holdings Acquisition Corp WT
PRME,Prime Medicine Inc
PROC,Procaps Group S.A.
PROCW,Procaps Group S.A. WT
PROF,Profound Medical Corp
PROK,Prokidney Corp
PROP,Prairie Operating CO
PROV,Provident Financial
PRPH,Prophase Labs Inc
PRPL,Purple Innovation Inc
PRPO,Precipio Inc
PRQR,Proqr Therapeutics
PRSO,Peraso Inc
PRTA,Prothena Corp
PRTC,Puretech Health Plc ADR
PRTG,Portage Biotech Inc Ord
PRTH,Priority Techno Holdings Inc
PRTS,U.S. Auto Parts Netw
PRVA,Privia Health Group Inc
PRZO,Parazero Technologies Ltd
PSC,Resources Prospect Ltd
PSEC,Prospect Capital Corp
PSHG,Performance Shipping Inc
PSIG,PS International Group Ltd
PSMT,Pricesmart Inc
PSNL,Personalis Inc
PSNY,Gores Guggenheim Inc Unit Cl A
PSNYW,Polestar Automotive Holding UK Limited Class C-1
PSTV,Plus Therapeutics Inc
PSTX,Poseida Therapeutics Inc
PT,Pintec Technology Holdings Ltd ADR
PTC,Ptc Inc
PTCT,Ptc Therapeutics
PTEN,Patterson-Uti Energy
PTGX,Protagonist Therapeutics Inc
PTHL,Pheton Holdings Ltd Cl A
PTIX,Protagenic Therapeutics Inc
PTIXW,Protagenic Therapeutics Inc WT
PTLE,Ptl Ltd
PTLO,Portillo's Inc
PTMN,Portman Ridge Finance Corp
PTON,Peloton Interactive Inc
PTPI,Petros Pharmaceuticals Inc
PTSI,P A M Transport Sv
PTVE,Pactiv Evergreen Inc
PUBM,Pubmatic Inc Cl A
PULM,Pulmatrix Inc
PVBC,Provident Bancorp CS
PWM,Prestige Wealth Inc
PWOD,Penns Woods Bancorp
PWP,Perella Weinberg Partners
PWUP,Powerup Acquisition Corp. Cl A
PWUPU,Powerup Acquisition Corp
PWUPW,Powerup Acquisition Corp. WT
PXDT,Pixie Dust Technologies Inc Ads
PXLW,Pixelworks Inc
PXS,Pyxis Tankers
PXSAW,Pyxis Tankers Inc WT
PYCR,Paycor Hcm Inc
PYPD,Polypid Ltd
PYPL,Paypal Holdings
PYXS,Pyxis Oncology Inc
PZZA,Papa John's Intl
QABA,Nasdaq Aba Community Bank Index Fund FT
QCOM,Qualcomm Inc
QCRH,Qcr Holdings Inc
QDEL,Quidelortho Corp
QETA,Quetta Acquisition Corp
QETAR,Quetta Acquisition Corporation Right
QETAU,Quetta Acquisition Corp
QFIN,Qifu Technology Inc ADR
QH,Quhuo Ltd ADR
QIPT,Quipt Home Medical Corp
QLGN,Qualigen Therapeutics Inc
QLYS,Qualys Inc
QMCO,Quantum Corp
QMID,Wisdomtree U.S. Midcap Quality Growth Fund
QMMM,QmMM Holdings Limited
QNCX,Quince Therapeutics Inc
QNRX,Quoin Pharmaceuticals Ltd ADR
QNST,Quinstreet Inc
QNTM,Quantum Biopharma Ltd
QOMO,Qomolangma Acquisition Corp
QOMOR,Qomolangma Acquisition Corp. Right
QOMOU,Qomolangma Acquisition Corp
QOMOW,Qomolangma Acquisition Corp. WT
QQEW,Nasdaq 100 EW Index Fund
QQQX,Nuveen Nasdaq 100
QRHC,Quest Resource
QRTEA,Qurate Retail Inc Series A
QRTEB,Qurate Retail Inc Series B
QRTEP,Qurate Retail Inc 8.0% Fixed Rate Cumulative Re
QRVO,Qorvo Inc
QSG,Quantasing Group Ltd ADR
QSI,Quantum-Si Inc
QSIAW,Quantum-Si Inc WT
QSML,Wisdomtree U.S. Smallcap Quality Growth Fund
QTEC,Nasdaq 100 Technology Index Fund
QTI,Qt Imaging Holdings Inc
QTRX,Quanterix Corp
QTTB,Q32 Bio Inc
QUBT,Quantum Computing Inc
QUIK,Quicklogic Corp
QURE,Uniqure N.V.
QXO,Qxo Inc
RAIL,Freightcar America
RAND,Rand Capital Corp
RANI,Rani Therapeutics Holdings Inc Cl A
RAPP,Rapport Therapeutics Inc
RAPT,Rapt Therapeutics Inc
RARE,Ultragenyx Pharmaceu
RAVE,Rave Restaurant Group
RAY,Raytech Holding Limited
RAYA,Erayak Power Solution Group Inc Cl A
RBB,Rbb Bancorp
RBBN,Ribbon Communications Inc
RBCAA,Republic Bancorp Inc
RBKB,Rhinebeck Bancorp Inc
RCAT,Red Cat Holdings Inc
RCEL,Avita Medical Inc
RCKT,Rocket Pharmaceuticals Inc
RCKTW,Rocket Pharmaceuticals Inc WT
RCKY,Rocky Brands Inc
RCM,R1 Rcm Inc
RCMT,R C M Tech Inc
RCON,Recon Technology Ltd
RDACU,Rising Dragon Acquisition Corp
RDCM,Radcom Ltd
RDFN,Redfin Corp
RDHL,Redhill Biophrma ADR
RDI,Reading Intl Cl A
RDIB,Reading International Inc Cl B
RDNT,Radnet Inc
RDUS,Radius Recycling Inc
RDVT,Red Violet Inc
RDWR,Radware Ltd
RDZN,Roadzen Inc
RDZNW,Vahanna Tech Edge Acquisition I Corp WT
REAL,The Realreal Inc
REAX,Real Brokerage Inc
REBN,Reborn Coffee Inc
RECT,Rectitude Holdings Ltd
REE,Ree Automotive Ltd Cl A
REFI,Chicago Atlantic Real Estate Finance Inc
REFR,Research Frontiers
REG,Regency Centers Corp
REGCO,Regency Centers Corporation 5.875% Sr B
REGCP,Regency Centers Corporation 6.25% Series A Cumul
REGN,Regeneron Pharmaceuticals
REKR,Rekor Systems Inc
RELI,Reliance Global Group
RELIW,Reliance Global Group WT
RELL,Richardson Electrncs
RELY,Remitly Global Inc
RENB,Renovaro Inc
RENE,Cartesian Growth Corporation II Cl A
RENEW,Cartesian Growth Corp II WT
RENT,Rent The Runway Inc Cl A
REPL,Replimune Group Inc
RETO,Reto Eco-Solutions Inc
REVB,Revelation Biosciences Inc
REVBW,Revelation Biosciences Inc WT
REYN,Reynolds Consumer Products Inc
RFAC,RF Acquisition Corp. Cl A
RFACR,RF Acquisition Corp. Rights
RFAI,RF Acquisition Corp II
RFAIR,RF Acquisition Corp II Right
RFAIU,RF Acquisition Corp II
RFIL,RF Industries Ltd
RGC,Regencell Bioscience Holdings Ltd
RGCO,Rgc Resources Inc
RGEN,Repligen Corp
RGF,The Real Good Food Company Inc Cl A
RGLD,Royal Gold Inc
RGLS,Regulus Therapeutics
RGNX,Regenxbio Inc
RGP,Resources Connection Inc
RGS,Regis Corp
RGTI,Rigetti Computing Inc
RGTIW,Rigetti Computing Inc WT
RICK,RCI Hospitality Hold
RIGL,Rigel Pharmaceuticals
RILY,B. Riley Financl
RILYG,B. Riley Financial Inc 5.00% Senior Notes Due 2
RILYK,B. Riley Financial Inc 5.50% Senior Notes Due
RILYL,B. Riley Financial Inc ADR
RILYM,B. Riley Financial Inc 6.375% Senior Notes Due
RILYN,B. Riley Financial Inc 6.50% Senior Notes Due
RILYP,B. Riley Financial Inc
RILYT,B. Riley Financial Inc 6.00% Senior Notes Due
RILYZ,B. Riley Financial Inc 5.25%
RIME,Algorhythm Holdings Inc
RIOT,Riot Platforms Inc
RITR,Reitar Logtech Holdings Limited
RIVN,Rivian Automotive Inc Cl A
RKDA,Arcadia Biosciences Inc
RKLB,Rocket Lab USA Inc
RLAY,Relay Therapeutics Inc
RLMD,Relmada Therapeutics Inc
RLYB,Rallybio Corporaton
RMBI,Richmond Mutual Bancorp Inc
RMBL,Rumbleon Inc
RMBS,Rambus Inc
RMCF,Rocky MT Chocolate
RMCO,Royalty Management Holding Corp
RMCOW,Royalty Management Holding Corp WT
RMNI,Rimini Street Inc
RMR,The Rmr Grp A
RMSG,Real Messenger Corporation
RMSGW,Real Messenger Corporation WT
RMTI,Rockwell Medical IN
RNA,Avidity Biosciences Inc
RNAC,Cartesian Therapeutics Inc
RNAZ,Transcode Therapeutics Inc
RNW,Renew Energy Global Plc Cl A
RNWWW,Renew Energy Global Plc WT
RNXT,Renovorx Inc
ROAD,Construction Partners Inc Cl A
ROCK,Gibraltar Ind Inc
ROCL,Roth Ch Acquisition V
ROCLU,Roth Ch Acquisition V Units
ROCLW,Roth Ch Acquisition V WT
ROIC,Retail Opp Invts Corp
ROIV,Roivant Sciences Ltd
ROKU,Roku Inc
ROMA,Roma Green Finance Limited
ROOT,Root Inc
ROP,Roper Industries
ROST,Ross Stores Inc
RPAY,Repay Holdings Corp Cl A
RPD,Rapid7 Inc
RPID,Rapid Micro Biosystems Inc Cl A
RPRX,Royalty Pharma Plc Cl A
RPTX,Repare Therapeutics Inc
RR,Richtech Robotics Inc Cl B
RRBI,Red River Bancshares Inc
RRGB,Red Robin Gourmet Burgers Inc
RRR,Red Rock Resorts Inc
RSLS,Reshape Lifesciences Inc
RSSS,Research Solutions Inc
RSVR,Reservoir Media Inc
RSVRW,Reservoir Media Inc WT
RTC,Baijiayun Group Ltd
RUM,Rumble Inc
RUMBW,Rumble Inc WT
RUN,Sunrun Inc
RUSHA,Rush Enterprises Cl A
RUSHB,Rush Enterprises Cl B
RVMD,Revolution Medicines Inc
RVMDW,Revolution Medicines Inc WT
RVNC,Revance Therapeutics
RVPH,Reviva Pharmaceuticals Hldg Inc
RVPHW,Reviva Pharmaceuticals Hldg Inc WT
RVSB,Riverview Bancorp
RVSN,Rail Vision Ltd
RVSNW,Rail Vision Ltd WT
RVYL,Ryvyl Inc
RWAY,Runway Growth Finance Corp
RWAYL,Runway Growth Finance Corp. 7.50% Notes Due 2027
RWAYZ,Runway Growth Finance Corp. 8.00% Notes Due 2027
RXRX,Recursion Pharmaceuticals Inc Cl A
RXST,Rxsight Inc
RXT,Rackspace Technology Inc
RYAAY,Ryanair Hlds Plc ADR
RYTM,Rhythm Pharmaceuticals Inc
RZLT,Rezolute Inc
RZLV,Rezolve Ai Limited
RZLVW,Rezolve Ai Limited Warrants
SABR,Sabre Corp
SABS,Sab Biotherapeutics Inc
SABSW,Sab Biotherapeutics Inc WT
SAFT,Safety Ins Group Inc
SAG,Sag Holdings Limited
SAGE,Sage Therapeutic Com
SAIA,Saia Inc
SAIC,Science Applications International
SAIH,Saiheat Limited
SAIHW,Saiheat Limited WT
SAMG,Silvercrest Ast Cm A
SANA,Sana Biotechnology Inc
SANG,Sangoma Technologies Corp
SANM,Sanmina Corp
SANW,S&W Seed Company
SASR,Sandy Spring Bancorp
SATL,Satellogic Inc Cl A
SATLW,Satellogic Inc WT
SATS,Echostar Corp
SAVA,Cassava Sciences Inc
SBAC,SBA Communications
SBC,Sbc Medical Group Holdings Inc
SBCF,Seacoast Banking Corp
SBCWW,Sbc Medical Group Holdings Inc WT
SBET,Sharplink Gaming Inc
SBFG,Sb Financial Group
SBFM,Sunshine Biopharma
SBFMW,Sunshine Biopharma Inc WT
SBGI,Sinclair Inc
SBLK,Star Bulk Carriers
SBRA,Sabra REIT
SBSI,Southside Bancshares
SBT,Sterling Bancorp Inc [Southfield Mi]
SBUX,Starbucks Corp
SCHL,Scholastic Corp
SCKT,Socket Mobile
SCLX,Scilex Holding Co.
SCLXW,Scilex Holding Company WT
SCNI,Scinai Immunotherapeutics Ltd ADR
SCNX,Scienture Holdings Inc
SCOR,Comscore Inc
SCPH,SC Pharmaceuticals Inc
SCSC,Scansource Inc
SCVL,Shoe Carnival Inc
SCWO,374Water Inc
SCWX,Secureworks Corp CS
SCYX,Scynexis Inc
SDA,Suncar Technology Group Inc
SDAWW,Suncar Technology Group Inc WT
SDGR,Schrodinger Inc
SDIG,Stronghold Digital Mining Inc Cl A
SDOT,Sadot Group Inc
SDST,Stardust Power Inc
SDSTW,Stardust Power Inc WT
SEAT,Vivid Seats Inc Cl A
SEATW,Vivid Seats Inc WT
SEDG,Solaredge Tech
SEED,Origin Agritech Ltd
SEER,Seer Inc Cl A
SEIC,Sei Investments Company
SELF,Global Self Storage
SELX,Semilux International Ltd
SENEA,Seneca Foods Corp A
SENEB,Seneca Foods Corp B
SEPN,Septerna Inc
SERA,Sera Prognostics Inc Cl A
SERV,Serve Robotics Inc
SEVN,Seven Hills Realty Trust
SEZL,Sezzle Inc
SFBC,Sound Financial
SFHG,Samfine Creation Holdings Group
SFIX,Stitch Fix Inc
SFM,Sprouts Farmers Market
SFNC,Simmons First Natl
SFST,Southern First Bancs
SFWL,Shengfeng Development Limited Cl A
SGA,Saga Communications
SGBX,Safe & Green Holdings Corp
SGC,Superior Uniform Group
SGD,Safe and Green Development Corp
SGHT,Sight Sciences Inc
SGLY,Singularity Future Technology Ltd
SGMA,Sigmatron Intl Inc
SGML,Sigma Lithium Corp
SGMO,Sangamo Therapeutics
SGMT,Sagimet Biosciences Inc Series A
SGRP,Spar Group Inc
SGRY,Surgery Partners CS
SHBI,Shore Bancshares Inc
SHC,Sotera Health Company
SHEN,Shenandoah Telecom
SHFS,Shf Holdings Inc
SHFSW,Shf Holdings Inc WT
SHIM,Shimmick Corp
SHIP,Seanergy Maritime Hl
SHLS,Shoals Technologies Group Cl A
SHLT,Shl Telemedicine Ltd ADR
SHMD,Schmid Group N.V. Cl A
SHMDW,Schmid Group N.V. WT
SHOO,Steven Maddens Ltd
SHOT,Safety Shot Inc
SHOTW,Safety Shot Inc WT
SHPH,Shuttle Pharmaceuticals Holdings Inc
SHYF,The Shyft Group Inc
SIBN,Si-Bone Inc
SIDU,Sidus Space Inc Cl A
SIEB,Siebert Fin Corp
SIFY,Sify Techs Ltd ADR
SIGA,Siga Technologies Inc
SIGI,Selective Ins Group
SIGIP,Selective Insurance Group Inc
SILC,Silicom Ltd
SILO,Silo Pharma Inc
SIMA,Sim Acquisition Corp. I Cl A
SIMAU,Sim Acquisition Corp. I
SIMAW,Sim Acquisition Corp I WT
SIMO,Silicon Motion Techn ADR
SINT,Sintx Technologies Inc
SIRI,Siriusxm Holdings Inc
SISI,Shineco Inc
SITM,Sitime Corp
SJ,Scienjoy Holding Corp
SJW,SJW Corp
SKGR,Sk Growth Opportunities Corporation Cl A
SKGRW,Sk Growth Opportunities Corporation WT
SKIN,The Beauty Health Co.
SKK,Skk Holdings Limited
SKOR,Flexshares Credit Scored US Corp Bond
SKRE,Tuttle Capital Daily 2X Inverse Regional Banks E
SKWD,Skyward Specialty Insurance Group Inc
SKYE,Skye Bioscience Inc
SKYQ,Sky Quarry Inc
SKYT,Skywater Technology Inc
SKYW,Skywest Inc
SKYX,Skyx Platforms Corp
SLAB,Silicon Labs Inc
SLDB,Solid Biosciences Inc
SLDP,Solid Power Inc Cl A
SLDPW,Solid Power Inc WT
SLE,Super League Enterprise Inc
SLGL,Sol-Gel Technologies Ltd
SLM,SLM Corp
SLMBP,SLM Corp Srs B Pfd
SLN,Silence Therapeutics Plc ADR
SLNG,Stabilis Solutions Inc
SLNH,Soluna Hldgs Inc
SLNHP,Soluna Hldgs Inc Prfd
SLNO,Soleno Therapeutics Inc
SLP,Simulations Plus Inc
SLRC,Slr Investment Corp
SLRN,Acelyrin Inc
SLRX,Salarius Pharmaceuticals Inc
SLS,Sellas Life Sciences Group Inc
SLVO,CS X-Links Silver Share
SLXN,Silexion Therapeutics Corp
SLXNW,Biomotion Sciences WT
SMBC,Southern MO Bancorp
SMCI,Super Micro Computer
SMID,Smith-Midland Corp
SMLR,Semler Scientific
SMMT,Summit Therapeu ADR
SMPL,The Simply Good Foods Company
SMSI,Smith Micro Software
SMTC,Semtech Corp
SMTI,Sanara Medtech Inc
SMTK,Smartkem Inc
SMX,Smx [Security Matters] Plc Cl A
SMXT,Solarmax Technology Inc
SMXWW,Smx [Security Matters] Plc WT
SNAL,Snail Inc Cl A
SNAX,Stryve Foods Inc
SNAXW,Stryve Foods Inc WT
SNBR,Sleep Number Corp
SNCR,Synchronoss Technologies Inc
SNCRL,Synchronoss Technologies Inc 8.375%
SNCY,Sun Country Airlines Holdings Inc
SND,Smart Sand Inc
SNDL,Sndl Inc
SNDX,Syndax Pharma
SNES,Senestech Inc
SNEX,Stonex Group Inc
SNFCA,Security Natl Finl
SNGX,Soligenix Inc
SNOA,Sonoma Pharmaceuticals Inc
SNPS,Synopsys Inc
SNPX,Synaptogenix Inc
SNRE,Sunrise Communications Ag ADR
SNREV,Sunrise Communications Ag ADR
SNSE,Sensei Biotherapeutics Inc
SNT,Senstar Technologies Ltd
SNTG,Sentage Holdings Inc
SNTI,Senti Biosciences Inc
SNY,Sanofi-Aventis S.A. ADR
SNYR,Synergy Chc Corp
SOBR,Sobr Safe Inc
SOFI,Sofi Technologies Inc
SOGP,Sound Group Inc ADR
SOHO,Sotherly Hotels
SOHOB,Sotherly Hotels Inc 8.0% Series B Cumulative Re
SOHON,Sotherly Hotels Inc Perp Pfd Ser D
SOHOO,Sotherly Hotels LP
SOHU,Sohu.com Inc ADR
SOND,Sonder Holdings Inc
SONDW,Sonder Holdings Inc WT
SONM,Sonim Technologies Inc
SONN,Sonnet Biotherapeutics Holdings Inc
SONO,Sonos Inc
SOPA,Society Pass Inc
SOPH,Sophia Genetics Sa
SOTK,Sono-Tek Corp
SOUN,Soundhound Ai Inc Cl A
SOUNW,Soundhound Ai Inc WT
SOWG,Sow Good Inc
SPAI,Safe Pro Group Inc
SPCB,Supercom Ltd
SPFI,South Plains Financial Inc
SPGC,Sacks Parente Golf Inc
SPHL,Springview Holdings Ltd
SPI,Spi Energy Company Ltd
SPKL,Spark I Acquisition Corp Cl A
SPKLU,Spark I Acquisition Corp
SPKLW,Spark I Acquisition Corp WT
SPNS,Sapiens Intl Corp NV
SPOK,Spok Holdings Inc
SPPL,Simpple Ltd
SPRB,Spruce Biosciences Inc
SPRC,Scisparc Ltd
SPRO,Spero Therapeutics Inc
SPRY,Ars Pharmaceuticals Inc
SPSC,Sps Commerce Inc
SPT,Sprout Social Inc Cl A
SPTN,Spartannash Company
SPWH,Sportsman's Wareh
SQFT,Presidio Property Trust Inc
SQFTP,Presidio Property Trust Inc 9.375%
SQFTW,Presidio Property Trust Inc
SRAD,Sportradar Group Ag Cl A
SRBK,Sr Bancorp Inc
SRCE,1st Source Corp
SRCL,Stericycle Inc
SRDX,Surmodics Inc
SRM,Srm Entertainment Inc
SRPT,Sarepta Therapeutics
SRRK,Scholar Rock Holding Corp
SRTS,Sensus Healthcare Inc
SRZN,Consonance-Hfw Acq Corp
SRZNW,Consonance-Hfw Acq Corp WT
SSBI,Summit State Bank
SSBK,Southern States Bancshares Inc
SSKN,Strata Skin Scien
SSNC,SS&C Technologies
SSP,E.W. Scripps Company
SSRM,Ssr Mining Inc
SSSS,Sutter Rock Capital Corp
SSSSL,Suro Capital Corp 6.00%
SSTI,Soundthinking Inc
SSYS,Stratasys Ltd
STAA,Staar Surgical Company
STAF,Staffing 360 Solutions Inc
STBA,S&T Bancorp Inc
STBX,Starbox Group Holdings Ltd
STCN,Steel Connect Inc
STEC,Santech Holdings Limited
STEP,Stepstone Group Inc Cl A
STER,Sterling Check Corp
STFS,Star Fashion Culture Holdings Limited Cl A
STGW,Stagwell Inc
STHO,Star Holdings
STI,Solidion Technology Inc
STIM,Neuronetics Inc
STKH,Steakholder Foods Ltd
STKL,Sunopta Inc
STKS,The One Group
STLD,Steel Dynamics Inc
STNE,Stoneco Ltd Cl A
STOK,Stoke Therapeutics Inc
STRA,Strayer Education
STRL,Sterling Infrastructure Inc
STRM,Streamline Health So
STRO,Sutro Biopharma Inc
STRR,Star Equity Hldgs Inc
STRRP,Star Equity Hldgs Inc Pr
STRS,Stratus Pptys Inc
STRT,Strattec Security
STSS,Sharps Technology Inc
STSSW,Sharps Technology Inc WT
STTK,Shattuck Labs Inc
STX,Seagate Technology Hldgs Plc
SUGP,Su Group Holdings Limited
SUNE,Sunation Energy Inc
SUNS,Sunrise Realty Trust
SUPN,Supernus Pharm
SURG,Surgepays
SURGW,Surgepays Inc WT
SUUN,Solarbank Corp
SVC,Service Properties Trust
SVCO,Silvaco Group Inc
SVII,Spring Valley Acquisition Corp. II Cl A
SVIIR,Spring Valley Acquisition Corp. II Rights
SVIIW,Spring Valley Acquisition Corp. II WT
SVMH,Srivaru Holding Limited
SVMHW,Srivaru Holding Limited WT
