Symbol,Description
FDBC,Fidelity D & D Bancorp Inc
FDMT,4D Molecular Therapeutics Inc
FDSB,Fifth District Bancorp Inc
FDT,Dev Mkts Ex-US Alphadex Fund FT
FDTS,Dev Mkts Ex-US Small Cap Alphadex Fund FT
FDUS,Fidus Investment Cor
FEAM,5E Advanced Materials Inc
FEBO,Fenbo Holdings Limited
FEIM,Frequency Elcts Inc
FELE,Franklin Electric Company
FEM,Emrg Mkts Alphadex Fund FT
FEMS,Emrg Mkts Small Cap Alphadex Fund FT
FEMY,Femasys Inc
FENC,Fennec Pharmaceuticals Inc
FEP,Europe Alphadex Fund FT
FER,Ferrovial Se
FEUZ,Eurozone Alphadex Fund FT
FEX,Largecap Core Alphadex Fund FT
FFBC,First Finl Bncp [Oh]
FFIC,Flushing Finl Corp
FFIE,Faraday Future Intelligent Electric Inc
FFIEW,Faraday Future Intelligent Electric Inc WT
FFIN,First Finl Bkshs Inc
FFIV,F5 Inc
FFNW,First Financial Nort
FGBI,First Gurty Banc
FGBIP,First Guaranty Bancshares [Hammond La]
FGEN,Fibrogen Inc CS
FGF,Fundamental Global Inc
FGFPP,Fg Financial Group Inc Pfd
FGI,Fgi Industries Ltd
FGIWW,Fgi Industries Ltd WT
FGL,Founder Group Limited
FGM,Germany Alphadex Fund FT
FHB,First Hawaiian Inc
FHTX,Foghorn Therapeutics Inc
FIAC,Focus Impact Acquisition Corp Cl A
FIBK,First Interstate Ban
FINW,Finwise Bancorp
FIP,Ftai Infrastructure Inc
FISI,Financial Institut
FITB,Fifth Third Bancorp
FITBI,Fifth Third Bancorp
FITBO,Fifth Third Bancorp
FITBP,Fifth Third Bancorp
FIVE,Five Below Inc
FIVN,Five9 Inc
FIZZ,Natl Beverage Corp
FJP,Japan Alphadex Fund FT
FKU,UK Alphadex Fund FT
FKWL,Franklin Wireless Co.
FLD,Ftac Emerald Acquisition Corp Cl A
FLDDU,Ftac Emerald Acquisition Corp
FLDDW,Ftac Emerald Acquisition Corp WT
FLEX,Flextronics Intl Ltd
